name,address,type,place
Frederick Bayoff Literary Bks,950 Riverside Ave,Book store,adrian
Siena Heights Book Store,1247 E Siena Heights Dr,Book store,adrian
Rad Raptor Comics,209 N Main St,Comic book store,adrian
That Used Bookstore,810 Adrian St,Used book store,adrian
Blessings & More Donation Center,423 W Maumee St,Thrift store,adrian
Acropolis Games,105 Sand Creek Hwy,Game store,adrian
The Novelty Shoppe,145 S Main St 2623,Gift shop,adrian
Goodwill Industries of Southeastern Michigan,1400 US223,Thrift store,adrian
Jackson College Bookstore,2111 Emmons Rd,Book store,adrian
Jackson Bible Bookstore,1210 E Michigan Ave,Book store,adrian
Guardian Book Co,8484 Brown St,Book store,adrian
GameStop,1693 US223 E,Video game store,adrian
Our Lady of Grace Bookstore,24 Frank Lloyd Wright Dr C1200,Christian book store,adrian
Follett's Jackson CC Bookstore,2111 Emmons Rd,Book store,adrian
Garrett Scott Bookseller,Ann Arbor,Rare book store,adrian
Wilderness Adventure Books,Manchester,Book store,adrian
Christian Science Reading Room,Ann Arbor,Book store,adrian
Cross Street Book Shop,Ypsilanti,Used book store,adrian
Barnes & Noble,Ann Arbor,Book store,adrian
Barnes & Noble University of Michigan North Campus,Ann Arbor,Book store,adrian
People Called Women Bookstore,Toledo,Book store,adrian
Lourdes University Bookstore,Sylvania,Book store,adrian
McLean and Eakin,Petoskey,Book store,adrian
Happy House Shop,Ann Arbor,Greeting card shop,adrian
Catholic Shoppe,Jackson,Gift shop,adrian
Goodwill Industries of Southeastern Michigan,Lambertville,Thrift store,adrian
Stirling Books & Brew,119 N Superior St,Book store,albion
Albion College Book Store,4867 Kellogg Ctr,Book store,albion
Barnes & Noble,3120 Fairlane Dr,Book store,allen park
Big Ben's Comix,6711 Allen Rd,Comic book store,allen park
Big Bens Comix,277 Allen Rd,Book store,allen park
Alma College Bookstore,328 W Superior St,Book store,alma
Madd Resale,5244 N State Rd,Thrift store,alma
Hall of Heroes LLC,201 E Broadway St,Comic book store,alma
Barnes & Noble,6800 Eastman Ave Space F630,Book store,alma
Sunshine Resale Store Saint Louis Michigan,St Louis,Thrift store,alma
Saginaw Valley State University Bookstore,University Center,Book store,alma
Turn The Page Bookstore,2205 US23,Book store,alpena
Parallel 45 Books & Gifts,Alpena,Book store,alpena
Bob's Bullpen,Alpena,Comic book store,alpena
Olivet Book & Gift,Alpena,Gift shop,alpena
My Adult Comic Books,,Comic book store,alpena
Literati Bookstore,124 E Washington St,Book store,ann arbor
Crazy Wisdom Bookstore & Tea Room,114 S Main St,Book store,ann arbor
Barnes & Noble,Huron Village 3235 Washtenaw Ave,Book store,ann arbor
Dawn Treader Book Shop,514 E Liberty St,Used book store,ann arbor
West Side Book Shop,113 W Liberty St,Used book store,ann arbor
Nicola's Books,2513 Jackson Ave,Book store,ann arbor
Motte & Bailey Booksellers,212 N 4th Ave,Used book store,ann arbor
Barnes & Noble University of Michigan North Campus,2101 Bonisteel Blvd,Book store,ann arbor
Bookbound  CURBSIDE PICKUP ONLY until further notice,1729 Plymouth Rd,Book store,ann arbor
Ulrich's,1200 S University Ave,Book store,ann arbor
Vault of Midnight,219 S Main St,Comic book store,ann arbor
David's Books,1675B S State St,Book store,ann arbor
Friends Book Shop,343 S 5th Ave,Book store,ann arbor
Books by Chance LLC,1954 S Industrial Hwy,Used book store,ann arbor
Garrett Scott Bookseller,1924 Packard St,Rare book store,ann arbor
Christian Science Reading Room,306 E Liberty St,Book store,ann arbor
Stadium Cards & Comics,2061 Golfside Rd,Comic book store,ann arbor
Fun 4 All Comics & Games,3773 Carpenter Rd,Comic book store,ann arbor
Barnes & Noble Michigan Union,530 S State St,Book store,ann arbor
My Urban Toddler,3010 Washtenaw Ave 107,Book store,ann arbor
I & Z Books & Crafts,,Book store,ann arbor
Eastern Michigan University Bookstore,900 Oakwood St,Book store,ann arbor
Black Stone Bookstore,214 W Michigan Ave,Book store,ann arbor
BlazeMichigan,,Medical book store,ann arbor
