name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Bunch of Grapes Bookstore,"23 Main St, Vineyard Haven, MA 02568",Book store,Vineyard Haven,http://www.bunchofgrapes.com/,,,,http://www.bunchofgrapes.com/gift-card,http://www.bunchofgrapes.com/contact,Contact Us,1,MA,02568,book_store
Eight Cousins Books,"189 Main St, Falmouth, MA 02540",Book store,Falmouth,http://www.eightcousins.com/,,,Eight Cousins Gift Card,http://www.eightcousins.com/eight-cousins-gift-card,https://visitor.r20.constantcontact.com/manage/optin?v=001UYKiRe5OVrmYA35pzf5aONB6qk1Rth-dT9cRPduXFD_eyXf-O3PLM3WaFEmmG1eKO5wbJ98RajusbJI3JimHrL-pqm1GPsJX6bF59SrwdJ4%3D,SIGN UP FOR NEWSLETTERS,1,MA,02540,book_store
Where the Sidewalk Ends Bookstore,"432 Main St, Chatham, MA 02633",Book store,Chatham,http://www.booksonthecape.com/,,,Gift Certificates,http://www.booksonthecape.com/gift-certificates,http://www.booksonthecape.com/contact,Contact,1,MA,02633,book_store
Trident Booksellers & Cafe,"338 Newbury St, Boston, MA 02115",Book store,Boston,http://www.tridentbookscafe.com/,https://www.tridentbookscafe.com/menu,"Indie bookstore & cafe with a big all-day breakfast menu, veggie options & a linger-friendly vibe.",Gift Cards,http://www.tridentbookscafe.com/trident-books-cafe-gift-card,https://visitor.r20.constantcontact.com/manage/optin?v=0012su5kPS-3mudm2Dr7GDMl0Ij1l6H7D_5fmo0APjQKBKvhTlJZfOOWoeZDDGywNx7Yt7repiiOo0y7qX06Zvak6ohVWCGrb96TO-Z0K6ba4he-ZwWG5535Dzas1CGsBAjiUK0eILlbNukMBmk_o_NoUqSpKLgQQQyfuImvkuTDuY%3D,Get our Newsletter!,1,MA,02115,book_store
Heritage Books,"225 College Hwy, Southampton, MA 01073",Used book store,Southampton,http://www.heritagebks.com/,,,Gift Cards,https://squareup.com/gift/4TA4XTJK3RGP6/order,http://www.heritagebks.com/contact.html,"
                        Contact Us",1,MA,01073,book_store
Odyssey Bookshop,"9 College St, South Hadley, MA 01075",Book store,South Hadley,http://www.odysseybks.com/,,,Gift Cards,http://www.odysseybks.com/gift-cards,http://visitor.r20.constantcontact.com/manage/optin?v=001yNBsj5sMLItCHJx3v8G6X8L1C6n_gsD45t76bT-P1dP1IlCMdlZbP35mRKGgJYHOpPdPMb3dcIHVhT0BNmH8dbnzsDS4SCOTgVSoS83neJzBFuZPYKWVxw%3D%3D,Click here to join our mailing list,1,MA,01075,book_store
Roundabout Books,"26 Kenwood St, Greenfield, MA 01301",Book store,Greenfield,http://www.roundaboutbookstore.com/,,,"
",http://www.roundaboutbookstore.com/product/gift-card,,,1,MA,01301,book_store
Nantucket Bookworks,"25 Broad St, Nantucket, MA 02554",Book store,Nantucket,https://www.nantucketbookpartners.com/,,,ONLINE GIFT CARDS,https://www.nantucketbookpartners.com/online-only-gift-code,https://www.nantucketbookpartners.com/contact-0,CONTACT US,1,MA,02554,book_store
The Bookstore and Get Lit Wine Bar,"11 Housatonic St, Lenox, MA 01240",Book store,Lenox,http://bookstoreinlenox.com/,,,Gift Certificates &ampSouvenirs,http://bookstoreinlenox.com/gift-certificates-souvenirs,http://bookstoreinlenox.com/contact,Contact,1,MA,01240,book_store
Avenue Victor Hugo Books,"1 Lee Hill Rd, Lee, NH 03861",Book store,Lee,https://avenuevictorhugobooks.com/,,,,https://squareup.com/gift/CRV48NG7ZZ7T5/order,,,1,NH,03861,book_store
Book Moon,"86 Cottage St, Easthampton, MA 01027",Book store,Easthampton,https://www.bookmoonbooks.com/,,,Gift Cards,https://www.bookmoonbooks.com/gift-cards,https://www.bookmoonbooks.com/contact,Contact Us,1,MA,01027,book_store
Henry Bear's Park,"736 Hope St, Providence, RI 02906",Book store,Providence,http://www.henrybear.com/,,, Gift Cards ,http://www.henrybear.com/Electronic-Gift-Card,http://www.henrybear.com/lead-form,Contact Us,1,RI,02906,book_store
The Toy Vault at Emerald Square Mall,"999 S Washington St, North Attleborough, MA 02760",Toy store,North Attleborough,http://www.thetoyvault.com/,,,"
      Store Gift Cards
    ",http://www.thetoyvault.com/preorders/gift-cards,,,1,MA,02760,book_store
