name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched,state,zipcode,store_type
Kingston Florist,"175 Summer St, Kingston, MA 02364",Florist,Kingston,http://www.kingstonfloristandgifts.com/,,,,,https://kingstonfloristandgifts.com/contacts,"
Contact Us
",1,MA,02364,florist
Stevens The Florist,"160 South St, Plymouth, MA 02360",Florist,Plymouth,http://www.stevenstheflorist.com/,,,,,https://www.facebook.com/Stevens-The-Florist-155132007846323/," 
",1,MA,02360,florist
Carey's Flowers Inc,"300 Newton St, South Hadley, MA 01075",Florist,South Hadley,http://www.careysflowers.com/,,,,,https://www.facebook.com/Careys-Flowers-Inc-217398244957609/," 
",1,MA,01075,florist
Floral Affairs,"324 Deerfield St, Greenfield, MA 01301",Florist,Greenfield,http://www.floralaffairsofgreenfield.com/,,,,,https://www.floralaffairsofgreenfield.com/contact_us.php,Contact Us,1,MA,01301,florist
Flowers by Webster,"52 Court St, Westfield, MA 01085",Florist,Westfield,http://www.flowersbywebster.com/,,,,,https://www.facebook.com/FlowersByWebster," 
",1,MA,01085,florist
Bourne Florist,"5 Colonel Dr #3, Bourne, MA 02532",Florist,Bourne,http://www.bourne-florist.com/,,,,,https://bourne-florist.com/contacts/,Contact Us,1,MA,02532,florist
Xavier's Flower Shop,"200 William S Canning Blvd, Fall River, MA 02721",Florist,Fall River,https://xaviersflowershop.com/,,,,,https://xaviersflowershop.com//contact-us/,Contact,1,MA,02721,florist
Springvale Flowers,"489 Main St, Springvale, ME 04083",Florist,Springvale,https://springvaleflowers.net/,,,,,https://www.bloomnation.com/contact-us/,Contact Us,1,ME,04083,florist
New England Nurseries Inc,"216 Concord Rd, Bedford, MA 01730",Garden center,Bedford,http://www.newenglandnurseries.com/,,,,,http://www.newenglandnurseries.com/index.cfm/fuseaction/home.contact/index.htm,Contact Us,1,MA,01730,florist
Edinboro Flower Shop,"77 Edinboro St, Marlborough, MA 01752",florists,Marlborough,http://edinboroflowershopmarlborough.com/,,,,,https://checkout.bloomnetcommerce.com/contact/?s=V9V0tgwN7yk8IbvzVEv0I2RkLYDt61CYU5ul7i%2BxnzI%3D,"

 Contact Us
",1,MA,01752,florist
River's Edge Garden Center,"12 Auburn Street Extension, Framingham, MA 01701",Garden center,Framingham,http://iloveriversedge.com/,,,,,https://www.iloveriversedge.com/contact-us,CONTACT US,1,MA,01701,florist
