name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Whoopi USA,Monsey,Clothing store,airmont,,,,,,,,0
Zubii Kids,Monsey,Children's clothing store,airmont,,,,,,,,0
Powder by La Pelcha,Monsey,Boutique,airmont,,,,,,,,0
Be A Bride,Airmont,Bridal shop,airmont,,,,,,,,0
Main Street Hatters,Monsey,Clothing store,airmont,,,,,,,,0
Rock Bottom Sales,Monsey,Clothing store,airmont,,,,,,,,0
Second Time Around Thrift Shop,Suffern,Used clothing store,airmont,,,,,,,,0
Bene Fit,Monsey,Clothing store,airmont,,,,,,,,0
Lilac & Lavender,Monsey,Children's clothing store,airmont,,,,,,,,0
GOWNS WITH GLAMOUR Inc,,Clothing store,airmont,,,,,,,,0
Men's Wearhouse,Nanuet,Men's clothing store,airmont,,,,,,,,0
LOFT,Nanuet,Women's clothing store,airmont,,,,,,,,0
Handpicked,Spring Valley,Women's clothing store,airmont,,,,,,,,0
JellyBeanz Kids,,Children's clothing store,airmont,,,,,,,,0
JJill,Nanuet,Women's clothing store,airmont,,,,,,,,0
Majestic Bride,Monsey,Clothing store,airmont,,,,,,,,0
Lerob Boutique,Monsey,Boutique,airmont,,,,,,,,0
Elite Repeat Consignment Boutique,New City,Clothing store,airmont,,,,,,,,0
Designers Nursery,Monsey,Baby store,airmont,,,,,,,,0
House Calls,Monsey,Bridal shop,airmont,,,,,,,,0
The Hosiery Boutique,Monsey,Clothing store,airmont,,,,,,,,0
OshKosh B'gosh,Spring Valley,Children's clothing store,airmont,,,,,,,,0
El Golazo,,Clothing store,airmont,,,,,,,,0
Ann Taylor,Nanuet,Women's clothing store,airmont,,,,,,,,0
Lucky Brand,Nanuet,Clothing store,airmont,,,,,,,,0
Carter's,Spring Valley,Children's clothing store,airmont,,,,,,,,0
Hamaspik of Rockland County,Monsey,Clothing store,airmont,,,,,,,,0
JCrew,Nanuet,Clothing store,airmont,,,,,,,,0
Jos A Bank,Nanuet,Men's clothing store,airmont,,,,,,,,0
The Children's Place,Ramsey,Children's clothing store,airmont,,,,,,,,0
Chico's,Nanuet,Clothing store,airmont,,,,,,,,0
Banana Republic,Nanuet,Clothing store,airmont,,,,,,,,0
Duluth Trading Company,Ramsey,Clothing store,airmont,,,,,,,,0
Mimi's Treasures,Pearl River,Clothing store,airmont,,,,,,,,0
Sock Shoppe,Monsey,Hat shop,airmont,,,,,,,,0
TJ Maxx,Ramsey,Clothing store,airmont,,,,,,,,0
Top Row,Pomona,Clothing store,airmont,,,,,,,,0
White House Black Market,75 W Rte 59,Clothing store,airmont,,,,,,,,0
Ability Within LLC,,Clothing store,airmont,,,,,,,,0
Michael Kors,8103 Fashion Dr,Clothing store,airmont,,,,,,,,0
Beach Weddings,,Bridal shop,airmont,,,,,,,,0
Chic Lingerie,401 NY59,Lingerie store,airmont,,,,,,,,0
Torrid,37 Interstate Shop Center Spc 15,Plus size clothing store,airmont,,,,,,,,0
Target,4120 Palisades Center Dr,Clothing store,airmont,,,,,,,,0
Lingerie Shop,24 Orchard St  214,Lingerie store,airmont,,,,,,,,0
Torrid,1000 Palisades Center Dr Spc F212,Plus size clothing store,airmont,,,,,,,,0
Express,1000 Palisades Center Dr,Clothing store,airmont,,,,,,,,0
Coat Arcade,67 NY59,Boutique,airmont,,,,,,,,0
Old Navy,1470 Palisades Center Drive Space F105,Clothing store,airmont,,,,,,,,0
New Yorker,1000 Palisades Center Dr,Clothing store,airmont,,,,,,,,0
Charlotte Russe,2512 Palisades Center Dr,Clothing store,airmont,,,,,,,,0
Burlington,3240 Palisades Center Dr,Clothing store,airmont,,,,,,,,0
New York & Company,1000 Palisades Center Dr,Women's clothing store,airmont,,,,,,,,0
Catherines,1475 Western Ave,Plus size clothing store,albany,,,,,,,,0
Marshalls,1440 Central Ave,Clothing store,albany,,,,,,,,0
H & H Clothing & Accessories,312 Second Ave,Clothing store,albany,,,,,,,,0
Charlotte Russe,1 Crossgates Mall Rd P201,Clothing store,albany,,,,,,,,0
Athleta,1 Crossgates Mall Rd d213,Clothing store,albany,,,,,,,,0
