name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Sister's Uptown Bookstore,New York,Book store,airmont,,,,,,,,0
LIM College Bookstore,New York,Book store,airmont,,,,,,,,0
Columbia University Bookstore,New York,Book store,airmont,,,,,,,,0
Logos Bookstore,New York,Book store,airmont,,,,,,,,0
Book Culture,New York,Book store,airmont,,,,,,,,0
Bluestockings Bookstore Cafe & Activist Center,New York,Book store,airmont,,,,,,,,0
The Village Bookstore,10 Washington Ave,Book store,airmont,,,,,,,,0
Strand Book Store  Times Square Kiosk,43rd Street between Broadway & 7th Ave,Book store,airmont,,,,,,,,0
Revolution Books,437 Malcolm X Blvd,Book store,airmont,,,,,,,,0
City College Bookstore,Convent Ave,Book store,airmont,,,,,,,,0
Posman Books,75 9th Ave,Book store,airmont,,,,,,,,0
Housing Works Bookstore Cafe & Bar,126 Crosby St,Book store,airmont,,,,,,,,0
Albertine,972 5th Ave,Book store,airmont,,,,,,,,0
St Vartan Bookstore,630 2nd Ave,Book store,airmont,,,,,,,,0
Book Culture on Broadway,2915 Broadway,Book store,airmont,,,,,,,,0
Amazon Books,10 Columbus Cir,Book store,airmont,,,,,,,,0
Books of Wonder,217 W 84th St,Childrens book store,airmont,,,,,,,,0
Posman Books,30 Rockefeller Plaza,Book store,airmont,,,,,,,,0
Westsider Rare & Used Books Inc,2246 Broadway,Used book store,airmont,,,,,,,,0
Chartwell Booksellers,55 E 52nd St,Book store,airmont,,,,,,,,0
Saint Agnes Bookstore,143 E 43rd St,Christian book store,airmont,,,,,,,,0
Printed Matter Inc,231 11th Ave,Book store,airmont,,,,,,,,0
Books For Less Showroom,230 5th Ave 1112,Book store,airmont,,,,,,,,0
Unoppressive Nonimperialist Bargain Books,34 Carmine St,Book store,airmont,,,,,,,,0
Shakespeare & Co,939 Lexington Ave,Book store,airmont,,,,,,,,0
New York City College of Technology Bookstore,Brooklyn,Book store,airmont,,,,,,,,0
Books of Wonder,New York,Book store,airmont,,,,,,,,0
New York University,New York,Book store,airmont,,,,,,,,0
Pace University Bookstore,Pleasantville,Book store,airmont,,,,,,,,0
McNally Jackson Independent Booksellers and Cafe,New York,Book store,airmont,,,,,,,,0
Three Lives & Company,New York,Book store,airmont,,,,,,,,0
JHU Comic Books,New York,Comic book store,airmont,,,,,,,,0
Mercy College  Dobbs Ferry Campus Bookstore,Dobbs Ferry,Book store,airmont,,,,,,,,0
Midtown Comics Grand Central,New York,Comic book store,airmont,,,,,,,,0
Bureau of General Services--Queer Division,New York,Book store,airmont,,,,,,,,0
Mast Books,New York,Book store,airmont,,,,,,,,0
La Librairie des Enfants,New York,Childrens book store,airmont,,,,,,,,0
Dashwood Books,New York,Book store,airmont,,,,,,,,0
Lehman College Bookstore,The Bronx,Book store,airmont,,,,,,,,0
Idlewild Books,New York,Book store,airmont,,,,,,,,0
Bonnie Slotnick Cookbooks,New York,Used book store,airmont,,,,,,,,0
New Life Christian Store,Queens,Christian book store,airmont,,,,,,,,0
Adventist Book Center,New York,Book store,airmont,,,,,,,,0
McNally Jackson Books Soho,52 Prince St,Book store,airmont,,,,,,,,0
Barnes & Noble,680 White Plains Rd,Book store,airmont,,,,,,,,0
Scattered Books,29 King St,Book store,airmont,,,,,,,,0
Printed Matter,38 St Marks Pl,Book store,airmont,,,,,,,,0
Book Revue,313 New York Ave,Book store,airmont,,,,,,,,0
Shakespeare & Co,2020 Broadway,Book store,airmont,,,,,,,,0
Midtown Comics Downtown,64 Fulton St,Comic book store,airmont,,,,,,,,0
McNally Jackson,4 Fulton St,Book store,airmont,,,,,,,,0
