name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Great Clips Airmont Colonial Square,"329 NY-59, Airmont, NY 10952",Beauty salon,airmont,,http://www.greatclips.com/salons/8644,,,,,,1
Appearance One,"321 NY-59, Tallman, NY 10982",Beauty salon,airmont,,,,,,,,1
Rapunzel Hair Studio,"296 NY-59, Tallman, NY 10982",Beauty salon,airmont,,,,,,,,1
Celso' Family barber shop,"191 NY-59 #9, Suffern, NY 10901",Beauty salon,airmont,,http://xelecto1.wixsite.com/familybarbershop,,,,,,1
Time Nails,"329 NY-59, Airmont, NY 10952",Beauty salon,airmont,,,,,,,,1
Ivy Nails,"424 Saddle River Rd, Airmont, NY 10952",Nail salon,airmont,,http://www.spaplusnail.com/,,,,,,1
Nail Splash,,Beauty salon,airmont,,,,,,,,1
Cindys Nails Spa,"241 NY-59, Airmont, NY 10901",Nail salon,airmont,,http://www.cindys-nails-spa.business.site/,,,,,,1
Suffern Nails,"10901 New York, Suffern, NY-59",Nail salon,airmont,,https://www.instagram.com/suffernnailspa,,,,,,1
Cozy Nails,"321 NY-59, Airmont, NY 10901",Nail salon,airmont,,,,,,,,1
Queens Nail & Spa,"Airmont, NY 10901",Beauty salon,airmont,,,,,,,,1
Carmines Headquarters,"301 NY-59, Suffern, NY 10901",Beauty salon,airmont,,,,,,,,1
J K Nails,"296 Route 59 Ave, Tallman, NY 10982",Nail salon,airmont,,,,,,,,1
In NailSpa,"14 Indian Rock, Suffern, NY 10901",Nail salon,airmont,,http://www.innailspa.com/,,,,,,1
European Wax Center,"247 NY-59, Airmont, NY 10901",Waxing hair removal service,airmont,,https://locations.waxcenter.com/ny/airmont/airmont-0550.html?utm_source=google&utm_medium=search&utm_content=local-listing&utm_campaign=gmb-listing&utm_term=ewc-gmb,,,,,,1
Perfection beauty,"321 NY-59, Tallman, NY 10982",Beauty salon,airmont,,http://www.perfectionbeautyny.com/,,,,,,1
Spa Plus Nail Studio,"424 Saddle River Rd, Monsey, NY 10952",Nail salon,airmont,,http://www.spaplusnail.com/,,,,,,1
FibroblastbyAdele,"7 Cardinal Ct, Airmont, NY 10952",Beauty salon,airmont,,https://fibroblastbyadele.business.site/?utm_source=gmb&utm_medium=referral,,,,,,1
Nailsplash,"26 NY-59, Suffern, NY 10901",Nail salon,airmont,,https://www.nailsplashny.com/,,,,,,1
Family Barber Shop,"191 NY-59 #9, Suffern, NY 10901",Beauty salon,airmont,,http://xelecto1.wixsite.com/familybarbershop,,,,,,1
Oksana Beauty Salon,"387 NY-59, Spring Valley, NY 10977",Beauty salon,airmont,,,,,,,,1
Nailsplash,"26 NY-59, Suffern, NY 10901",Nail salon,airmont,,https://www.nailsplashny.com/,,,,,,1
