name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Kingston Florist,"175 Summer St, Kingston, MA 02364",Florist,acton,http://www.kingstonfloristandgifts.com/,,,,,https://kingstonfloristandgifts.com/contacts,"
Contact Us
",1
Mahoney's Garden Center,"242 Cambridge St, Winchester, MA 01890",Florist,acton,http://mahoneysgarden.com/,,Original location of a family-run chain of garden centers with a wide range of plants & supplies.,Gift Cards,http://mahoneysgarden.com/gift-cards/,,,1
Stevens The Florist,"160 South St, Plymouth, MA 02360",Florist,acton,http://www.stevenstheflorist.com/,,,,,https://www.facebook.com/Stevens-The-Florist-155132007846323/," 
",1
Carey's Flowers Inc,"300 Newton St, South Hadley, MA 01075",Florist,acton,http://www.careysflowers.com/,,,,,https://www.facebook.com/Careys-Flowers-Inc-217398244957609/," 
",1
Floral Affairs,"324 Deerfield St, Greenfield, MA 01301",Florist,acton,http://www.floralaffairsofgreenfield.com/,,,,,https://www.floralaffairsofgreenfield.com/contact_us.php,Contact Us,1
Nuttelman's Florists,"135 Woodlawn Ave, Northampton, MA 01060",Florist,acton,http://www.nuttelmansflorist.net/,,,,,,,1
Pomfret Florist,"836 County St, Somerset, MA 02726",Florist,acton,https://www.pomfretflorist.com/,,,,,,,1
Flowers by Webster,"52 Court St, Westfield, MA 01085",Florist,acton,http://www.flowersbywebster.com/,,,,,https://www.facebook.com/FlowersByWebster," 
",1
Bourne Florist,"5 Colonel Dr #3, Bourne, MA 02532",Florist,acton,http://www.bourne-florist.com/,,,,,https://bourne-florist.com/contacts/,Contact Us,1
Xavier's Flower Shop,"200 William S Canning Blvd, Fall River, MA 02721",Florist,acton,https://xaviersflowershop.com/,,,,,https://xaviersflowershop.com//contact-us/,Contact,1
Main Street Florist,"936 S Main St, Fall River, MA 02724",Florist,acton,http://www.mainstreet-florist.com/,,,,,,,1
Sowle The Florist,"249 Ashley Blvd, New Bedford, MA 02746",Florist,acton,http://www.sowletheflorist.com/,,,,,,,1
Petal & Stem,"45 Commercial St, South Yarmouth, MA 02664",Florist,acton,http://www.petalandstemflorist.com/,,,,,,,1
Garlington Florist,"359 Rockdale Ave, New Bedford, MA 02740",Florist,acton,https://garlingtonflowers.com/,,,,,,,1
Mahoney's Garden Centers,"1625 Sudbury Rd, Concord, MA 01742",Garden center,acton,http://mahoneysgarden.com/,,,Gift Cards,http://mahoneysgarden.com/gift-cards/,,,1
Springvale Flowers,"489 Main St, Springvale, ME 04083",Florist,acton,https://springvaleflowers.net/,,,,,https://www.bloomnation.com/contact-us/,Contact Us,1
New England Nurseries Inc,"216 Concord Rd, Bedford, MA 01730",Garden center,acton,http://www.newenglandnurseries.com/,,,,,index.cfm/fuseaction/home.contact/index.htm,Contact Us,1
Edinboro Flower Shop,"77 Edinboro St, Marlborough, MA 01752",florists,acton,http://edinboroflowershopmarlborough.com/,,,,,https://checkout.bloomnetcommerce.com/contact/?s=V9V0tgwN7yk8IbvzVEv0I2RkLYDt61CYU5ul7i%2BxnzI%3D,"

 Contact Us
",1
Stonegate Gardens,"339 S Great Rd, Lincoln, MA 01773",Garden center,acton,http://stonegategardens.com/,,"Landscaped garden center & plant nursery with floral services, seasonal decor & a gift shop.",Gift Cards,https://www.stonegategardens.com/product/gift-card/,https://www.stonegategardens.com/contact-us/,Contact Us,1
River's Edge Garden Center,"12 Auburn Street Extension, Framingham, MA 01701",Garden center,acton,http://iloveriversedge.com/,,,,,https://www.iloveriversedge.com/contact-us,CONTACT US,1
