name,address,type,place
Dupuy's Seafood and Steak,108 S Main St,Seafood,abbeville
SHUCKS,701 W Port St,Creole,abbeville
RiverFront,530 Park Ave,Seafood,abbeville
Zz's Kitchen,2820 Veterans Memorial Dr,Restaurant,abbeville
Richard's Seafood Patio,1516 S Henry St,Restaurant,abbeville
Cajun Claws,1928 Charity St,Restaurant,abbeville
Amore Pizzaroma,301 Ardly Dr,Pizza,abbeville
Tokyo Japan,3013 Veterans Memorial Dr 105,Japanese,abbeville
Jalisco Mexican Restaurant,2016 Veterans Memorial Dr,Mexican,abbeville
New China Buffet & Grill,1910 Veterans Memorial Dr,Chinese,abbeville
Park Restaurant,204 Park Ave 4520,Breakfast,abbeville
SOULFUL EATS,1815 Charity St,Soul,abbeville
Classic Cup LLC,2627 Veterans Memorial Dr,Coffee shop,abbeville
Sonic DriveIn,522 Veteran Memorial Hwy Drive,Fast Food,abbeville
Little Caesars Pizza,3001 Veterans Memorial Dr HWY,Pizza,abbeville
BC Seafood & PoBoy,815 Charity St,Seafood,abbeville
Chili's Grill & Bar,3009 Veterans Memorial Dr,Tex Mex,abbeville
Popeyes Louisiana Kitchen,501 Veterans Memorial Dr,Chicken,abbeville
El Camino Mexican Restaurant,1901 Veterans Memorial Dr,Mexican,abbeville
Hardee's,3011 Veterans Memorial Dr,Fast Food,abbeville
La Rumba mexicana grill,1132 Veterans Memorial Dr,Mexican,abbeville
Burger King,920 N State St,Fast Food,abbeville
Richard's Seafood Too,901 Charity St,Seafood,abbeville
Food Etc,308 Charity St,Restaurant,abbeville
BrewBacher's Abbeville,124 Concord St,Restaurant,abbeville
Dairy Queen Grill & Chill,2719 Charity St,Fast Food,abbeville
Pizza Hut,720 Veterans Memorial Dr,Pizza,abbeville
Wendy's,2307 Veterans Memorial Blvd,Fast Food,abbeville
McDonald's,307 Veterans Memorial Dr,Fast Food,abbeville
Snowballs Ect,199101 S Gertrude Ave,Restaurant,abbeville
Taco Bell,600 Veterans Memorial Dr,Fast Food,abbeville
KFC,101 W Summers Dr,Chicken,abbeville
Charlies Diner,400 Charity St,Diner,abbeville
Aube's Red Barn,1902 W Summers Dr,Restaurant,abbeville
Shucks Seafood Resturant,319 Park Ave,Restaurant,abbeville
