name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched
Barnes & Noble,Folsom,Book store,ceres,,,,,,,,0
Black Bird Bookstore,San Francisco,Book store,ceres,,,,,,,,0
The Green Arcade,San Francisco,Book store,ceres,,,,,,,,0
Orinda Books,Orinda,Book store,ceres,,,,,,,,0
Open Secret Bookstore,San Rafael,Book store,ceres,,,,,,,,0
Dominican Bookstore,,Book store,ceres,,,,,,,,0
Barnes & Noble,Sacramento,Book store,ceres,,,,,,,,0
Book Passage,San Francisco,Book store,ceres,,,,,,,,0
MultiCultural Children's Bookstore,Richmond,Book store,ceres,,,,,,,,0
Barnes & Noble,Roseville,Book store,ceres,,,,,,,,0
Book Passage Cafe,Corte Madera,Book store,ceres,,,,,,,,0
Readers' Books,Sonoma,Used book store,ceres,,,,,,,,0
Capital Books,Sacramento,Book store,ceres,,,,,,,,0
Napa Bookmine,Napa,Used book store,ceres,,,,,,,,0
Best Buy,901 S Coast Dr Ste F,Music store,costa mesa,,,,,,,,0
Friends of the San Francisco Public Library,30 Grove St,Book store,daly city,,,,,,,,0
Book Passage,Ferry Building One 42,Book store,daly city,,,,,,,,0
William Stout Architectural Books,804 Montgomery St,Book store,daly city,,,,,,,,0
Planet Mix,Redwood City,Video game store,foster city,,,,,,,,0
Isotope Comics,San Francisco,Comic book store,foster city,,,,,,,,0
Dr Comics & Mr Games,Oakland,Comic book store,foster city,,,,,,,,0
USF Bookstore,San Francisco,Book store,foster city,,,,,,,,0
Dona's Hallmark Shop,San Carlos,Greeting card shop,foster city,,,,,,,,0
$10 Or Less Bookstore,8978 Tampa Ave,Book store,los angeles,,,,,,,,0
Golden Apple Comics,7018 Melrose Ave,Comic book store,los angeles,,,,,,,,0
Jovani Book Store,3545 S Ardmore Ave UNIT 902,Book store,los angeles,,,,,,,,0
AG Geiger Fine Art Books,nbsp 502 Chung King Ct,Rare book store,los angeles,,,,,,,,0
Hudson Booksellers,Terminal 6 LAX World Way,Book store,los angeles,,,,,,,,0
Follett Higher Education Group,10 Chester Pl,Book store,los angeles,,,,,,,,0
Hudson Booksellers,400 World Way,Book store,los angeles,,,,,,,,0
Legal Books Depot Inc,7510 Sunset Blvd 170,Book store,los angeles,,,,,,,,0
Book Plus,600 E Washington Blvd,Book store,los angeles,,,,,,,,0
Follett Higher Education Group,Los Angeles,Book store,los angeles,,,,,,,,0
Book Plus,Los Angeles,Book store,los angeles,,,,,,,,0
New Great Wall Books & Culture,Los Angeles,Book store,los angeles,,,,,,,,0
Alternate Universe,Los Angeles,Comic book store,los angeles,,,,,,,,0
& Pens Press,Los Angeles,Book store,los angeles,,,,,,,,0
Jump Q,Los Angeles,Book store,los angeles,,,,,,,,0
