type
art_gallery
bakery
bar
beauty_salon
bicycle_store
book_store
bowling_alley
cafe
car_repair
car_wash
clothing_store
convenience_store
department_store
drugstore
electronics_store
florist
furniture_store
grocery_or_supermarket
gym
hair_care
hardware_store
home_goods_store
jewelry_store
laundry
liquor_store
movie_theater
museum
night_club
pet_store
restaurant
shoe_store
spa
zoo
