name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
Distinctive Apparel,Randolph,Clothing store,abington,,,,,,,,0
Talbots,Hingham,Women's clothing store,abington,,,,,,,,0
47 Market St Brockton Ma,Brockton,Clothing store,abington,,,,,,,,0
Rainbow Shops,Brockton,Women's clothing store,abington,,,,,,,,0
PCX Apparel,Brockton,Clothing store,abington,,,,,,,,0
Evereve,Hingham,Women's clothing store,abington,,,,,,,,0
Hanna Andersson,Hingham,Children's clothing store,abington,,,,,,,,0
Gap,Hingham,Clothing store,abington,,,,,,,,0
Forever Young,Brockton,Women's clothing store,abington,,,,,,,,0
Ann Taylor,98 Derby St,Women's clothing store,abington,,,,,,,,0
TJ Maxx,1334 Park St,Clothing store,abington,,,,,,,,0
LOFT,94 Derby St,Women's clothing store,abington,,,,,,,,0
Natale's Men's Clothier,370 Washington St,Men's clothing store,abington,,,,,,,,0
JJill,98 Derby St,Women's clothing store,abington,,,,,,,,0
Banana Republic,94 Derby St 368,Clothing store,abington,,,,,,,,0
Burlington,200 Westgate Dr 136,Clothing store,abington,,,,,,,,0
Aeropostale,200 Westgate Dr,Clothing store,abington,,,,,,,,0
Blouse House,23 Commercial Way,Clothing store,abington,,,,,,,,0
Bob's Stores Footwear & Apparel,100 Mazzeo Dr,Clothing store,abington,,,,,,,,0
Marshalls,135 Pearl St,Clothing store,abington,,,,,,,,0
Clouzet Designs,300 Union St,Boutique,abington,,,,,,,,0
Breakwater Blue,,Beach clothing store,abington,,,,,,,,0
Macy's,1775 Washington St Suite 2,Clothing store,abington,,,,,,,,0
Men's Wearhouse,1264 Washington St,Men's clothing store,abington,,,,,,,,0
Madewell,94 Derby Street Space 255,Clothing store,abington,,,,,,,,0
NICZOE,92 Derby St 115,Women's clothing store,abington,,,,,,,,0
American Eagle & Aerie Store,98 Derby St Building 4 Space 413,Clothing store,abington,,,,,,,,0
Family Dollar,611 Washington St,Clothing store,abington,,,,,,,,0
JB Pride Uniforms,South Weymouth,Uniform store,abington,,,,,,,,0
CHEZ ELLE BOUTIQUE,Brockton,Clothing store,abington,,,,,,,,0
CHOOK CLOTHING,,Clothing store,abington,,,,,,,,0
Skynet,,Clothing store,abington,,,,,,,,0
