name,address,type,place
Ephrata Cloister,632 W Main St,History museum,akron
Seiverling Antique Car and Pedal Car Museum,66 Lancaster Ave,Museum,akron
Eicher Indian Museum,407 Cocalico St,Museum,akron
Historical Society of the Cocalico Valley,237 W Main St,Museum,akron
Lititz Historical Foundation,145 E Main St,History museum,akron
Landis Valley Village & Farm Museum,2451 Kissel Hill Rd,Historical place museum,akron
Handson House Children's Museum of Lancaster,721 Landis Valley Rd,Children's museum,akron
Short Line Model Railroad Club,11 S State St,Museum,akron
American Military Edged Weaponry Museum,3562 Old Philadelphia Pike,Museum,akron
North Museum of Nature and Science,400 College Ave,Science museum,akron
Landis Valley Village & Farm Museum,2451 Kissel Hill Rd,Museum,akron
New Holland Area Historical Society,,Museum,akron
Lancaster Mennonite Historical Society,2215 Millstream Rd,Museum,akron
Biblical Tabernacle Reproduction,2209 Millstream Rd,Museum,akron
The Amish Farm and House,2395 Covered Bridge Dr,Heritage museum,akron
Railroad Museum of Pennsylvania,300 Gap Rd,Rail museum,akron
Phillips Museum of Art at Franklin & Marshall College,628 College Ave,Art museum,akron
Lancaster Museum of Art,135 N Lime St,Art museum,akron
Bible History Exhibits,2827 Lincoln Hwy E,Museum,akron
Lititz Revolution War Memorial,3702756800000,Museum,akron
1719 Hans Herr House,1849 Hans Herr Dr,Historical place museum,akron
The Demuth Museum,120 E King St,Local history museum,akron
Rock Ford Plantation,881 Rockford Rd,Historical place museum,akron
LancasterHistory,230 N President Ave,History museum,akron
Mascot Roller Mills,2900 Stumptown Rd,Museum,akron
National Toy Train Museum,300 Paradise Ln,Rail museum,akron
America's First Pretzel Bakery,212264 PA772,Museum,akron
The Amish Village,199 Hartman Bridge Rd,Heritage museum,akron
Middle Creek Visitor Center,100 17578 Museum Alley,Museum,akron
Berry Patch Playgroung,,Museum,akron
New Holland Agriculture Plant Tours,,Museum,akron
Historic Schaefferstown Inc,111 N Market St,Museum,akron
Ressler Mill Foundation,443 W Newport Rd,Museum,akron
Conrad Weiser Homestead,28 Weiser Dr,Museum,akron
eagles nest of pa nat bird,457403 S Custer Ave,Museum,akron
SPPA,735 Spruce Rd,Historical place museum,akron
Wolf Museum of Music & Art,423 W Chestnut St,Museum,akron
Buck Hill farm covered Bridge,1002 Lititz Pike,Museum,akron
New Holland Historical Association,210 E Main St,Museum,akron
The Wiz Compound,617 W Sun Hill Rd,Museum,akron
Lancaster Newspapers Newseum,28 S Queen St,Museum,akron
Lancaster Butterfly and Entomological Club,400 College Ave,Natural history museum,akron
Whistle Stop Shop at Railroad Museum of Pennsylvania,300 Gap Rd,Museum,akron
Historic Eby House,,Museum,akron
Stroudsburg Railroad,,Museum,akron
accordion utopia,446 Revere Rd,Museum,akron
Picnic Grove,1598 Picnic Grove Rd,Museum,akron
GemberlingRex House,106 N Market St,Museum,akron
Alexander Schaeffer House,,Museum,akron
The Ken Kulakowsky Center for Letterpress and Book Arts,117 Parkside Ave,Museum,akron
Brubaker Monument,,Museum,akron
David A Dorsey Museum of Biblical Archaeology,121 S College St,Museum,akron
Rock Ford Plantation,,Museum,akron
