name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
Blossom Flowers,"5130 E La Palma Ave #102, Anaheim, CA 92807",Florist,Anaheim,,http://www.blossomflowersofanaheimhills.com/,,http://blossomflowersofanaheimhills.com/giftcertificates.php,,Gift Certificates,,1,CA,92807,florist
Conroy's Inc,"6055 E Washington Blvd # 235, Commerce, CA 90040",Florist,Commerce,,http://1800conroys.com/,,https://1800flowers.cashstar.com/store?ref=footer,http://1800conroys.com/contact-us,eGift Cards,Contact Us,1,CA,90040,florist
Berkeley Florist,"1420 University Ave, Berkeley, CA 94702",Florist,Berkeley,"Long-running, family-owned retailer of flower arrangements, bouquets, plants, cards & gifts.",http://www.leesfloristandnursery.com/,,https://leesfloristandnursery.com/berkeley-lees-florist-nursery/gift-certificate.html,,"






                                    Gift Certificate                                

                                    Gift Certificate                                




                                                $25.00                                            








In-Store Pickup Only


ADD TO FAVORITES





",,1,CA,94702,florist
Nicolai Bergmann Flowers & Design,"8745 W 3rd St, Los Angeles, CA 90048",Flower designer,Los Angeles,,http://www.nicolaibergmannus.com/,,http://www.nicolaibergmannus.com/collections/gift-card,http://www.nicolaibergmannus.com/pages/contact-us, Gift Card,Contact ,1,CA,90048,florist
Ace of Vase,"1928 W Olive Ave, Burbank, CA 91506",Florist,Burbank,,http://www.aceofvase.com/,,http://www.aceofvase.com/products/gift-card,,"

Gift Cards

",,1,CA,91506,florist
BLOOMS design house,"1365 Grand Ave Suite 104, San Marcos, CA 92078",Florist,San Marcos,,http://www.bloomsdesignhouse.com/,,https://www.instagram.com/p/B_iA5XSD-5w/,http://www.bloomsdesignhouse.com/contact,"

","
            Contact
          ",1,CA,92078,florist
Jolie Fleur,"1143 Camino Del Mar, Del Mar, CA 92014",Florist,Del Mar,,https://joliefleurdelmar.com/,,https://joliefleurdelmar.com/del-mar-jolie-fleur/gift-card.html,,"






                                    Gift Card                                

                                    Gift Card                                




                                                $100.00                                            










Next Day Delivery


ADD TO FAVORITES





",,1,CA,92014,florist
Nancy Liu Chin Designs,"548 5th St, San Francisco, CA 94107",Flower designer,San Francisco,,http://www.nancyliuchin.com/,,http://www.nancyliuchin.com/shop-1/gift-card,http://www.nancyliuchin.com/contact,"










Gift Card

from 75.00




",Contact,1,CA,94107,florist
Sonora Florist & Gifts,"35 S Washington St, Sonora, CA 95370",Florist,Sonora,,https://www.sonoraflorist.com/,,https://www.sonoraflorist.com/product/dc1000220/send-a-gift-certificate,https://www.sonoraflorist.com/contact_us.php,"


",Contact Us,1,CA,95370,florist
The Million Roses,"2301 E 7th St b114, Los Angeles, CA 90023",Flower designer,Los Angeles,,http://www.themillionroses.us/,,https://themillionroses.us/products/gift-card,https://themillionroses.us/discount/FREESHIP,Gift card,"
FREE contactless delivery - on the day of your choice
with code: FREESHIP
",1,CA,90023,florist
FlowerSchool Los Angeles,"223 S Los Angeles St, Los Angeles, CA 90012",Flower designer,Los Angeles,,http://www.flowerschoolla.com/,,https://www.flowerschoolla.com/course/gift-certificates/,https://flowerschoolla.com/contact/,Gift Cards,Contact ,1,CA,90012,florist
San Marin Flowers,"117 San Marin Dr, Novato, CA 94945",Florist,Novato,,https://sanmarinflowers.com/,,https://sanmarinflowers.com/novato-san-marin-flowers/san-marin-flowers-gift-certificate.html,,"






                                    San Marin Flowers Gift Certificate                                

                                    San Marin Flowers Gift Certificate                                




                                                $35.00                                            










Same Day Delivery


ADD TO FAVORITES





",,1,CA,94945,florist
the Social Flower,"5519 Mission Rd, Bonsall, CA 92003",Florist,Bonsall,,https://thesocialflowerca.com/,,https://thesocialflowerca.com/bonsall-the-social-flower/127-gift-certificate-50.html,,"






                                    127 Gift Certificate $50                                

                                    127 Gift Certificate $50                                




                                                $50.00                                            










Next Day Delivery


ADD TO FAVORITES





",,1,CA,92003,florist
Yellow Vase,"31248 Palos Verdes Dr W, Rancho Palos Verdes, CA 90275",Florist,Rancho Palos Verdes,Comfortable spot with patio seating offering French & American eats plus baked goods & flowers.,http://www.yellowvase.com/,http://places.singleplatform.com/yellow-vase-3/menu?ref=google,https://squareup.com/gift/1Y1SQPBY7ESVH/order,http://www.yellowvase.com/contact,Buy-E-Gift Card ,Contact ,1,CA,90275,florist
Hudson Grace,"225 26th St, Santa Monica, CA 90402",Florist,Santa Monica,,https://hudsongracesf.com/,,https://hudsongracesf.com/collections/gift-cards,https://hudsongracesf.com/pages/contact-us,Gift Cards,Contact,1,CA,90402,florist
Bizzyland,"23875 Lake Dr, Crestline, CA 92325",Florist,Crestline,,http://www.bizzylandstore.com/,,http://www.bizzylandstore.com/giftcertificates.php,https://bizzylandstore.com/contact-us/,Gift Certificates,Contact Us,1,CA,92325,florist
Green Fresh Florals  Plants,"3785 Fourth Ave, San Diego, CA 92103",Florist,San Diego,"Elegant shop known for towering arrangements, fine home decor & giftware, plus custom event flowers.",https://greenfreshflorals.com/,,https://greenfreshflorals.com/products/gift-card,https://greenfreshflorals.com/pages/contact,"
                  Green Fresh Gift Cards
                  
                ","
Free Curbside Pickup
Visit our Hillcrest shop
",1,CA,92103,florist
Tessfresh and Tessilk Flowers,"1405 Morena Blvd, San Diego, CA 92110",Florist,San Diego,"Specializing in weddings, this family-owned florist creates arrangements with fresh & silk flowers.",http://www.tessfreshflowers.com/,,http://www.tessfreshflowers.com/mothers-day-special/gift-card,http://www.tessfreshflowers.com/contact,,"
        
        Contact
      ",1,CA,92110,florist
Adorations Botanical Artistry,"7930 Convoy Ct, San Diego, CA 92111",Florist,San Diego,,http://www.adorations.com/,,https://www.instagram.com/p/B_fXLwPDVkG/,http://www.adorations.com/contact,"

",Contact,1,CA,92111,florist
Sweet Digs,"4852 Cass St, San Diego, CA 92109",Florist,San Diego,,http://www.sweetdigsca.com/,,http://www.sweetdigsca.com/products/sweet-digs-gift-card,http://www.sweetdigsca.com/pages/contact,"
Support Small Business! Buy a Gift Card Today!
","
Contact
",1,CA,92109,florist
Backbone Floral and Vintage,"1530 W Lewis St, San Diego, CA 92103",Florist,San Diego,,http://www.backboneco.com/,,https://squareup.com/gift/G2NKWAD4BCY20/order,http://www.backboneco.com/contact,gift cards,contact ,1,CA,92103,florist
Motu Hawaii,"5105 Cass St, San Diego, CA 92109",Florist,San Diego,"Pacific Islands-themed store offering fresh flower leis, printed shirts, ukulele lessons and more.",http://www.leilanisleis.com/,,https://leilanisleis.com/search?type=product&q=gift+card,http://www.leilanisleis.com/pages/contact-us,,Contact us,1,CA,92109,florist
Paradise Flowers,"911 Sir Francis Drake Blvd, Kentfield, CA 94904",Florist,Kentfield,"Full-service florist with multi-occasion arrangements, candle gifts & decorative planters.",http://www.paradiseflowers.net/,,https://www.paradiseflowers.net/gift-certificate/cat4550007,https://www.facebook.com/paradiseflowerskentfield/,Gift Certificate," 
",1,CA,94904,florist
The Little Flower Shop,"501 Magnolia Ave, Larkspur, CA 94939",Florist,Larkspur,,http://www.thelittleflowershop.co/,,http://www.thelittleflowershop.co/giftcertificates.php,https://thelittleflowershop.co/contact,"

          Gift Certificates
        
","

                Contact

              
",1,CA,94939,florist
Fred Segal,"8500 Sunset Blvd, Los Angeles, CA 90069",Florist,Los Angeles,,https://www.fredsegal.com/,,https://www.fredsegal.com/account,https://www.fredsegal.com/pages/contact-us,Gift Cards,Contact Us,1,CA,90069,florist
